stcty,D_PctEst,EM_PctEst,F_PctEst,FB_PctEst,LEP_PctEst,LI_PctEst,OA_PctEst,RM_PctEst,Y_PctEst,msaname,Mean_IPD
51810,10.7,7.8,50.8,9.1,3.9,22.5,12.7,32.8,22.6,"NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",15
51830,9.9,7.7,53.9,8.8,2.6,38.1,14.6,26.1,11,"NORFOLK-VIRGINIA BEACH-NEWPORT NEWS, VA-NC",16
53005,13.9,20.8,49.9,10.3,8.2,31.1,13.7,19.6,26.8,"RICHLAND-KENNEWICK-PASCO, WA",17
53011,12.4,9,50.6,10.4,5.8,26.4,14.1,15.5,24.9,"PORTLAND-VANCOUVER,OR-WA",16
53021,10.1,52.5,48,23,23.6,39.4,8.4,28.4,33.2,"RICHLAND-KENNEWICK-PASCO, WA",20
53029,15.6,7.1,50.2,7.1,2.5,24.9,22.7,15.1,18.7,"SEATTLE-BELLEVUE-EVERETT, WA",16
53033,9.6,9.5,50,22.1,10.6,22,12.5,33.8,20.7,"SEATTLE-BELLEVUE-EVERETT, WA",16
53035,15.5,7.3,49,6.5,2,23.7,16.4,18.3,20.9,"BREMERTON, WA",15
53053,13.7,10.4,50.3,9.4,5.5,28.3,12.9,26.2,23.8,"TACOMA, WA",16
53061,12,9.8,49.9,15.3,7.6,21.3,12.3,22.8,23,"SEATTLE-BELLEVUE-EVERETT, WA",16
53063,14.8,5.4,50.4,5.4,2.8,34.5,15,11.4,22.4,"SPOKANE, WA",15
53067,13,8.5,51.1,7.7,4.2,26.8,15.7,17.9,21.9,"OLYMPIA, WA",16
53073,13.3,9,50.5,10.6,4.3,33.8,15.9,15.8,19.9,"BELLINGHAM, WA",16
53077,13,48.4,49.9,18.2,16,48.2,12.9,22,29.9,"YAKIMA, WA",21
54003,14.9,4,50.8,3.4,1.3,30.7,13.7,12.7,24,"WASHINGTON, DC-MD-VA-WV",15
54009,16.5,0.9,51.1,1.4,0.2,31,21.8,3.5,18.1,"STEUBENVILLE-WEIRTON, OH-WV",14
54011,19.7,1.4,51,1.6,0.9,41.9,17.4,9,19.9,"HUNTINGTON-ASHLAND, WV-KY-OH",16
54029,18.7,1.4,51.6,1.7,0.7,36.3,21.2,4.6,19.6,"STEUBENVILLE-WEIRTON, OH-WV",15
54037,13.3,5.3,50.6,5,1.8,24.5,14.6,12.5,22.8,"WASHINGTON, DC-MD-VA-WV",15
54039,18.9,1.1,51.9,1.8,0.6,36.3,18.8,11.5,20.4,"CHARLESTON, WV",15
54051,15.4,1,50.7,0.7,0.2,37.1,20.1,2.5,20.4,"WHEELING, WV-OH",14
